auto_snapshot_id,gold_snapshot_id,shareholder,comparison_status
AUTO-SNP-001,SNP-001,深圳市云汉电子有限公司,MATCH
AUTO-SNP-001,SNP-001,刘云锋,MATCH
AUTO-SNP-002,SNP-002,曾烨,MATCH
AUTO-SNP-002,SNP-002,刘云锋,MATCH
AUTO-SNP-003,SNP-003,曾烨,MATCH
AUTO-SNP-003,SNP-003,刘云锋,MATCH
AUTO-SNP-004,SNP-004,曾烨,MATCH
AUTO-SNP-004,SNP-004,刘云锋,MATCH
AUTO-SNP-004,SNP-004,为赛咨询,MATCH
AUTO-SNP-005,SNP-005,曾烨,MATCH
AUTO-SNP-005,SNP-005,刘云锋,MATCH
AUTO-SNP-005,SNP-005,为赛咨询,MATCH
AUTO-SNP-005,SNP-005,力源信息,MATCH
AUTO-SNP-005,SNP-005,东方富海,MATCH
AUTO-SNP-005,SNP-005,芜湖富海,MATCH
AUTO-SNP-006,SNP-006,曾烨,MATCH
AUTO-SNP-006,SNP-006,刘云锋,MATCH
AUTO-SNP-006,SNP-006,为赛咨询,MATCH
AUTO-SNP-006,SNP-006,力源信息,MATCH
AUTO-SNP-006,SNP-006,东方富海,MATCH
AUTO-SNP-006,SNP-006,芜湖富海,MATCH
AUTO-SNP-007,SNP-007,曾烨,MATCH
AUTO-SNP-007,SNP-007,刘云锋,MATCH
AUTO-SNP-007,SNP-007,为赛咨询,MATCH
AUTO-SNP-007,SNP-007,力源信息,MATCH
AUTO-SNP-007,SNP-007,东方富海,MATCH
AUTO-SNP-007,SNP-007,芜湖富海,MATCH
AUTO-SNP-008,SNP-008,曾烨,MATCH
AUTO-SNP-008,SNP-008,刘云锋,MATCH
AUTO-SNP-008,SNP-008,为赛咨询,MATCH
AUTO-SNP-008,SNP-008,力源信息,MATCH
AUTO-SNP-008,SNP-008,东方富海,MATCH
AUTO-SNP-008,SNP-008,芜湖富海,MATCH
AUTO-SNP-008,SNP-008,深创投,MATCH
AUTO-SNP-008,SNP-008,丰利财富,MATCH
AUTO-SNP-008,SNP-008,镇江红土,MATCH
AUTO-SNP-008,SNP-008,昆山红土,MATCH
AUTO-SNP-008,SNP-008,富海深湾,MATCH
AUTO-SNP-009,SNP-009,曾烨,MATCH
AUTO-SNP-009,SNP-009,刘云锋,MATCH
