pdf_page,printed_page,text_char_count,image_count,text_layer_status,parser_used,text_sha256
1,,328,3,TEXT_AVAILABLE,pymupdf_text,fdd7b82530a2720f692bd983616bdb53a50bbcc8695f6bdde072939d6ac80157
2,1,292,0,TEXT_AVAILABLE,pymupdf_text,719a200d3f89b323f4dd02a2a060ed40f406a24a7018c166598156fce488682d
3,2,980,0,TEXT_AVAILABLE,pymupdf_text,8afeae9a585362764cc38a1268a2b97cbda6566a9abc15dcbfb9031c6c374e50
4,3,903,1,TEXT_AVAILABLE,pymupdf_text,ff9f849d8ca2d9e9dbf3dd7052509aac8672a0e28f09527fb88bb363ba6ce016
5,4,316,0,TEXT_AVAILABLE,pymupdf_text,69466fb8fda94e78624d6338455f047b6ee432f225b08452d2e4522125fa526c
6,5,2912,0,TEXT_AVAILABLE,pymupdf_text,7e52b2afde07065a8bbe341ffa70cff589f6e8fe012a48d5f9387f79d61180d3
7,6,2541,0,TEXT_AVAILABLE,pymupdf_text,4e789bff38277108eb00cb8f81e0ef7dd9b5aeec1f7d1fa6336e795e00d59113
8,7,2633,0,TEXT_AVAILABLE,pymupdf_text,dd797f67d030ee2c36417262c30dcb78b004da00edd68f0a583fc03e53aa06b1
9,8,2556,0,TEXT_AVAILABLE,pymupdf_text,6647903d3cccd607c5db7a90f56e88890caa2cf6e0c14fb62bd38eea15f8aad5
10,9,1045,0,TEXT_AVAILABLE,pymupdf_text,b2f1300dfedc8888649e4a9d868f8306f8cded21dafbd5ff33f8fdb7a86a97d7
11,10,917,0,TEXT_AVAILABLE,pymupdf_text,9622baaac0b7336ca2cee06835a21e44249bba822609511006a70e3b0500969e
12,11,1193,0,TEXT_AVAILABLE,pymupdf_text,0920fdeca8c4e32218ca79ae7ec1ef91df4d29f9d4abd59c63d5dd511474a6db
13,12,1105,0,TEXT_AVAILABLE,pymupdf_text,8dd1224eb8b8f95e3069b6b5879157b8d8634f7260202670c4d8d941fcf61498
14,13,1448,0,TEXT_AVAILABLE,pymupdf_text,0f57c1c54d463010563a590a3f463d7b5ae86c65db627beb0445bb1362023fc1
15,14,672,0,TEXT_AVAILABLE,pymupdf_text,2d748134a87cf6caefe21107605e3d6815cb226fe994b8adec5a3fa57c2f4fa1
16,15,732,0,TEXT_AVAILABLE,pymupdf_text,faa6e44bfa0af664b040b975eb532d692dc0791e85379ba35f458527f753f4bb
17,16,1086,0,TEXT_AVAILABLE,pymupdf_text,0f4b2991f51496ea4702b43282380812345a3f4807d04e16952b3e74b4c4f726
18,17,973,0,TEXT_AVAILABLE,pymupdf_text,deaf1ac80c2f32e53e8ba430e8b8c65f2dc698f42d39014c3e15c3ef4dacc78c
19,18,957,0,TEXT_AVAILABLE,pymupdf_text,e19a3327512eb21435ec627814808b60fb47c75930fcbdb61c9eb62cf7eab22c
20,19,915,0,TEXT_AVAILABLE,pymupdf_text,c54e960010c0b8204a289b64f7892eae174d18e327bf586b60b4c7d394da9056
21,20,966,0,TEXT_AVAILABLE,pymupdf_text,62f828a08aa1844850f118e1b3ae0a95316a840585d3c1a6b458cbb4b0d5c417
22,21,1040,0,TEXT_AVAILABLE,pymupdf_text,1a6f81a7a0b2ca7063280277c1551d1ab474cffd20660b3c06d4060006b9e986
23,22,1136,0,TEXT_AVAILABLE,pymupdf_text,b7096b1a6863d7782a9be7f6c3dc4dde378d9b499068c88ab59166e62cc491e3
24,23,787,0,TEXT_AVAILABLE,pymupdf_text,1f0d89547d37845b815cf241486aa300038c67572c499941d904fbb69d5e8611
25,24,1045,0,TEXT_AVAILABLE,pymupdf_text,d5389fa3124ebf999c95f969ee86e6020430712c32342d11c5f0d7b4419b9239
26,25,1048,0,TEXT_AVAILABLE,pymupdf_text,39644d7ed1ef85313543f4c8ffed8d71e0734a6600eaac88c3d938c2394e6af0
27,26,1047,0,TEXT_AVAILABLE,pymupdf_text,3b9405a9e84e969cf983b6064ea8ecc9ce44ea5282a33309def2e5a96b29d202
28,27,1313,0,TEXT_AVAILABLE,pymupdf_text,aaf58b8111dba8e16ba70123af412c3bdff52c20576ce8c16bec0f8d8b6caa67
29,28,1002,0,TEXT_AVAILABLE,pymupdf_text,25ec3c3d60c371de53c62287ee3e564880dfa90772c506fbebca6d55e1634e1b
30,29,983,0,TEXT_AVAILABLE,pymupdf_text,3d0d00f13864e22cb37fdbe3846bf7bc0da8af03dbf9b9f5099409eb0fdf52de
31,30,1016,0,TEXT_AVAILABLE,pymupdf_text,f26cee0a11e909a67d18e16947b31dbc1d9279a15e9c0b1c1455670dd28b9561
32,31,979,0,TEXT_AVAILABLE,pymupdf_text,e3221e2ac79587755d2c5c8b24b8d7eb56698458ecacf12856d07fd458ff5b0b
33,32,936,0,TEXT_AVAILABLE,pymupdf_text,d804e5604872c653a96a03840b3cf8ff7ed5dc64a6652c313187f1e70c1bcf5c
34,33,1034,0,TEXT_AVAILABLE,pymupdf_text,a06cc6d6403a50daef0faf12488a312dce591c7a9fcc431d22788f3b1b2acd0a
35,34,1068,0,TEXT_AVAILABLE,pymupdf_text,b281c3851cb85662755bb513af2ca6ce2129c231566999d23b43c0ee9f2282e6
36,35,880,0,TEXT_AVAILABLE,pymupdf_text,30a90d45095ed5b6e26c81ea73d154694ccea35b56e3dc29ed047c22c9c2cb94
37,36,1003,0,TEXT_AVAILABLE,pymupdf_text,4b5ca65d6ed0b523a184689fe38dde594dfc9265d1c8d918727273052210369d
38,37,1010,0,TEXT_AVAILABLE,pymupdf_text,a3649c84889b1b739151bc8864e12afac1c997d618a76975f2c1458f758469b3
39,38,1122,0,TEXT_AVAILABLE,pymupdf_text,0766fa85e5bf96cf80f3c7ad4fae11106d8095b4a27035ef5eca336416bad8c4
40,39,1081,0,TEXT_AVAILABLE,pymupdf_text,501fe69e31fbe94ce2bcd5852d923d79a4d8bf9813a4659f6735ecd14affea4b
41,40,1054,0,TEXT_AVAILABLE,pymupdf_text,ff388066bd4b2a10378a30021277c788bf0558da966dc166d714c47eaa219479
42,41,1186,0,TEXT_AVAILABLE,pymupdf_text,f5b88bba3ea714512d17ec3a7c139ce0adc3451ae621e70fbbe29b87ed61d7e8
43,42,1192,0,TEXT_AVAILABLE,pymupdf_text,edc5483e2308a352948c4e49e1143e2269373965d00a242f81f17ab2ace5e208
44,43,1077,0,TEXT_AVAILABLE,pymupdf_text,6efde7841f31d5480f3c92c8f1993cb6ae006f96e753edbe9263c46ccfac99c6
45,44,982,0,TEXT_AVAILABLE,pymupdf_text,072249b33fcb6ea32d0a4f54c560f1e83687395663881cb335e191211b240f87
46,45,910,0,TEXT_AVAILABLE,pymupdf_text,2fffcb7022c83f40ae9dd7392e8aacbe03b2ed3a43ffd63ed6714d22de1d5018
47,46,467,0,TEXT_AVAILABLE,pymupdf_text,1213698f9d8375517ca5fd6c7454bc98031beece2bd6c01c81feb1a020d99775
48,47,604,0,TEXT_AVAILABLE,pymupdf_text,1ee2718b987fa48537d84499db2c58f8f96d658b484347ecc08496244f610930
